Reference, Value, Footprint, Datasheet
U1,ARDUINO_UNO_SHIELD,footprints:ARDUINO_SHIELD,
U5,A,footprints:POLOLU_STEPPER_DRIVER,
U3,Y,footprints:POLOLU_STEPPER_DRIVER,
U2,X,footprints:POLOLU_STEPPER_DRIVER,
U4,Z,footprints:POLOLU_STEPPER_DRIVER,
P1,XMOT,Pin_Headers:Pin_Header_Straight_2x04,
P2,YMOT,Pin_Headers:Pin_Header_Straight_2x04,
P3,ZMOT,Pin_Headers:Pin_Header_Straight_2x04,
P4,AMOT,Pin_Headers:Pin_Header_Straight_2x04,
JP1,Jumper_NO_Small,footprints:Pin_100mil_Header_Straight_1x02,
JP2,Jumper_NO_Small,footprints:Pin_100mil_Header_Straight_1x02,
JP3,Jumper_NO_Small,footprints:Pin_100mil_Header_Straight_1x02,
R1,100K,Resistors_SMD:R_0805,
R2,100K,Resistors_SMD:R_0805,
JP4,Jumper_NO_Small,footprints:Pin_100mil_Header_Straight_1x02,
JP5,Jumper_NO_Small,footprints:Pin_100mil_Header_Straight_1x02,
JP6,Jumper_NO_Small,footprints:Pin_100mil_Header_Straight_1x02,
JP7,Jumper_NO_Small,footprints:Pin_100mil_Header_Straight_1x02,
JP8,Jumper_NO_Small,footprints:Pin_100mil_Header_Straight_1x02,
JP9,Jumper_NO_Small,footprints:Pin_100mil_Header_Straight_1x02,
R3,100K,Resistors_SMD:R_0805,
JP10,Jumper_NO_Small,footprints:Pin_100mil_Header_Straight_1x02,
JP11,Jumper_NO_Small,footprints:Pin_100mil_Header_Straight_1x02,
JP12,Jumper_NO_Small,footprints:Pin_100mil_Header_Straight_1x02,
R4,100K,Resistors_SMD:R_0805,
C1,100uF,Capacitors_SMD:c_elec_6.3x7.7,
C2,100uF,Capacitors_SMD:c_elec_6.3x7.7,
C3,100uF,Capacitors_SMD:c_elec_6.3x7.7,
C4,100uF,Capacitors_SMD:c_elec_6.3x7.7,
P5,UART,Pin_Headers:Pin_Header_Straight_1x04,
P6,I2C,Pin_Headers:Pin_Header_Straight_1x04,
JP13,Z+,footprints:Pin_100mil_Header_Straight_1x02,
JP14,Z-,footprints:Pin_100mil_Header_Straight_1x02,
JP15,Y+,footprints:Pin_100mil_Header_Straight_1x02,
JP16,Y-,footprints:Pin_100mil_Header_Straight_1x02,
JP17,X+,footprints:Pin_100mil_Header_Straight_1x02,
JP18,X-,footprints:Pin_100mil_Header_Straight_1x02,
JP19,SpinEn,footprints:Pin_100mil_Header_Straight_1x02,
JP20,SpinDir,footprints:Pin_100mil_Header_Straight_1x02,
JP21,CoolEn,footprints:Pin_100mil_Header_Straight_1x02,
JP22,Abort,footprints:Pin_100mil_Header_Straight_1x02,
JP23,Hold,footprints:Pin_100mil_Header_Straight_1x02,
JP24,Resume,footprints:Pin_100mil_Header_Straight_1x02,
P7,ES_SETUP,Pin_Headers:Pin_Header_Straight_1x03,
SW1,RESET,footprints:SWITCH_TACTILE_6.5_PTH,
JP25,ESTOP,footprints:Pin_100mil_Header_Straight_1x02,
JP26,EN/GND,footprints:Pin_100mil_Header_Straight_1x02,
JP27,XSTEP/DIR,footprints:Pin_100mil_Header_Straight_1x02,
JP28,YSTEP/DIR,footprints:Pin_100mil_Header_Straight_1x02,
JP29,ZSTEP/DIR,footprints:Pin_100mil_Header_Straight_1x02,
JP30,ASTEP/DIR,footprints:Pin_100mil_Header_Straight_1x02,
JP31,+5V/GND,footprints:Pin_100mil_Header_Straight_1x02,
JP32,Jumper_NO_Small,footprints:Pin_100mil_Header_Straight_1x02,
JP33,Jumper_NO_Small,footprints:Pin_100mil_Header_Straight_1x02,
JP34,Jumper_NO_Small,footprints:Pin_100mil_Header_Straight_1x02,
JP35,Jumper_NO_Small,footprints:Pin_100mil_Header_Straight_1x02,
JP36,Jumper_NO_Small,footprints:Pin_100mil_Header_Straight_1x02,
JP37,Jumper_NO_Small,footprints:Pin_100mil_Header_Straight_1x02,
JP38,Jumper_NO_Small,footprints:Pin_100mil_Header_Straight_1x02,
JP39,Jumper_NO_Small,footprints:Pin_100mil_Header_Straight_1x02,
P8,12V-36V,footprints:CONN_01x02_PITCH_5.08mm,
R5,10K,Resistors_SMD:R_0805,
